InternalName,卡牌名称,胜率,选取率,略过率
CreativeAi,创造性AI,57.2,47.5,52.5
Dirge,挽歌,57.6,39.9,60.1
DevourLife,吞噬生命,57.3,52.7,47.3
Dredge,清淤,57.0,21.1,78.9
Parse,领会,56.7,29.6,70.4
Reanimate,死者苏生,56.4,32.0,68.0
BorrowedTime,预借时间,55.9,40.5,59.5
EnfeeblingTouch,弱化之触,55.3,24.5,75.5
Hang,吊杀,55.1,25.8,74.2
SoulStorm,灵魂风暴,54.8,30.9,69.1
NecroMastery,亡灵精通,54.8,39.9,60.1
Veilpiercer,刺破帷幕,54.7,10.7,89.3
